📊 Resultados da Simulação Expandida

🌌 Evolução Cosmológica:
Tempo: 0.0 | Energia do Vácuo: 5.0 | Matéria-Antimatéria: 0.0 | Energia Escura: 0.01
Tempo: 167224.08026755851 | Energia do Vácuo: 0.019850235471924 | Matéria-Antimatéria: -1.9997199646467423e-51 | Energia Escura: 8.427335439209097
Tempo: 334448.16053511703 | Energia do Vácuo: -0.0048493729995156 | Matéria-Antimatéria: -2.3308549911964308e-102 | Energia Escura: 8.908173668213308
Tempo: 501672.24080267554 | Energia do Vácuo: -0.0186655433043328 | Matéria-Antimatéria: 1.5164450691142302e-153 | Energia Escura: 9.186328636871712
Tempo: 668896.3210702341 | Energia do Vácuo: 0.0094093280614767 | Matéria-Antimatéria: 6.701812036630186e-204 | Energia Escura: 9.382578987775007
Tempo: 836120.4013377926 | Energia do Vácuo: 0.0163668631946641 | Matéria-Antimatéria: 4.601361122311073e-255 | Energia Escura: 9.535868776490112

🌍 Simulação dos Exoplanetas:
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
Exoplaneta - Distância: 1 UA | Período Orbital: 1.0 anos | Temp. Equilíbrio: 3737.12 K
